2000	0.0633817	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
4000	0.0658392	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
6000	0.068332	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
8000	0.0707063	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
10000	0.0736044	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
12000	0.0760305	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
14000	0.0777561	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
16000	0.0800195	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
18000	0.0821328	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
20000	0.0837988	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
22000	0.0851638	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
24000	0.091174	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
26000	0.0898787	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
28000	0.0913407	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
30000	0.0912099	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
32000	0.090217	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
34000	0.0942791	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
36000	0.100543	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
38000	0.0912523	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
40000	0.0948212	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
42000	0.0969981	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
44000	0.100082	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
46000	0.0918171	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
48000	0.109536	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
50000	0.0926541	356.109	0	356.109	5.97655	0.00223487	0	0	0	0.527047	0.0328341	7.55607e-06	2.99351e-09	2.49375e-09	0.000136542	0.00414331	0.0125769	3.60061	
