0.1	20	0.0434677	0	0	0.301816	
0.2	20	0.0434677	0	0	0.302365	
0.3	20	0.0434678	-23.0429	-23.0429	0.302992	
0.4	20	0.0434679	-39.7261	-39.7261	0.303689	
0.5	20	0.043468	-69.0234	-69.0234	0.307062	
0.6	20	0.0434681	-98.6475	-98.6475	0.312873	
0.7	20	0.0434683	-128.69	-128.69	0.323136	
0.8	20	0.0434685	-127.389	-127.389	0.337436	
0.9	20	0.0434687	-163.811	-163.811	0.357467	
1	20	0.0434691	-186.712	-186.712	0.379266	
1.1	20	0.0434695	-204.996	-204.996	0.408438	
1.2	20	0.04347	-193.265	-193.265	0.441615	
1.3	20	0.0434706	-204.842	-204.842	0.478228	
1.4	20	0.0434714	-205.84	-205.84	0.516031	
1.5	20	0.0434724	-222.21	-222.21	0.555045	
1.6	20	0.0434735	-193.945	-193.945	0.59322	
1.7	20	0.0434748	-269.449	-269.449	0.635761	
1.8	20	0.0434764	-240.877	-240.877	0.674093	
1.9	20	0.0434782	-253.392	-253.392	0.723963	
2	20	0.0434803	-252.825	-252.825	0.768124	
2.1	20	0.0434828	-278.28	-278.28	0.813487	
2.2	20	0.0434856	-262.097	-262.097	0.859344	
2.3	20	0.043489	-274.708	-274.708	0.907475	
2.4	20	0.0434928	-284.536	-284.536	0.952128	
2.5	20	0.0434971	-280.642	-280.642	0.997016	
2.6	20	0.0435021	-315.945	-315.945	1.04343	
2.7	20	0.0435078	-304.641	-304.641	1.08563	
2.8	20	0.0435143	-223.884	-223.884	1.1335	
2.9	20	0.0435215	-291.55	-291.55	1.17834	
3	20	0.0435295	-295.186	-295.186	1.20955	
3.1	20	0.0435384	-250.713	-250.713	1.24675	
3.2	20	0.0435482	-251.367	-251.367	1.28324	
3.3	20	0.0435589	-276.253	-276.253	1.31482	
3.4	20	0.0435707	-283.989	-283.989	1.34467	
3.5	20	0.0435837	-264.928	-264.928	1.38	
3.6	20	0.043598	-259.112	-259.112	1.41006	
3.7	20	0.0436136	-235.007	-235.007	1.43348	
3.8	20	0.0436305	-264.214	-264.214	1.46083	
3.9	20	0.0436484	-273.168	-273.168	1.4858	
4	20	0.0436674	-250.6	-250.6	1.51148	
4.1	20	0.0436875	-267.932	-267.932	1.53658	
4.2	20	0.0437086	-264.53	-264.53	1.55477	
4.3	20	0.0437309	-340.7	-340.7	1.57477	
4.4	20	0.0437543	-294.598	-294.598	1.59272	
4.5	20	0.0437791	-265.162	-265.162	1.61181	
4.6	20	0.0438052	-276.064	-276.064	1.6235	
4.7	20	0.0438324	-241.362	-241.362	1.63648	
4.8	20	0.0438613	-261.406	-261.406	1.64663	
4.9	20	0.0438915	-293.442	-293.442	1.65402	
5	20	0.043923	-286.768	-286.768	1.66331	
5.1	20	0.0439555	-257.074	-257.074	1.67499	
5.2	20	0.0439895	-243.732	-243.732	1.67925	
5.3	20	0.0440245	-244.064	-244.064	1.6782	
5.4	20	0.0440607	-237.713	-237.713	1.67919	
5.5	20	0.0440981	-314.731	-314.731	1.67956	
5.6	20	0.044137	-284.873	-284.873	1.67738	
5.7	20	0.0441775	-316.698	-316.698	1.67637	
5.8	20	0.0442195	-309.095	-309.095	1.6719	
5.9	20	0.0442634	-303.866	-303.866	1.66342	
6	20	0.044309	-244.284	-244.284	1.65336	
6.1	20	0.0443566	-250.206	-250.206	1.63838	
6.2	20	0.044406	-310.979	-310.979	1.62407	
6.3	20	0.044457	-302.637	-302.637	1.61359	
6.4	20	0.0445099	-277.598	-277.598	1.60411	
6.5	20	0.0445643	-279.943	-279.943	1.59562	
6.6	20	0.0446201	-287.371	-287.371	1.58463	
6.7	20	0.0446775	-298.237	-298.237	1.57335	
6.8	20	0.0447365	-260.597	-260.597	1.55468	
6.9	20	0.044797	-301.213	-301.213	1.53756	
7	20	0.0448589	-251.852	-251.852	1.52254	
7.1	20	0.0449221	-245.351	-245.351	1.50802	
7.2	20	0.0449866	-273.638	-273.638	1.49512	
7.3	20	0.0450527	-296.5	-296.5	1.48494	
7.4	20	0.0451204	-283.071	-283.071	1.46931	
7.5	20	0.0451899	-268.998	-268.998	1.4545	
