155	0.00126	0.2646	0.10299	0.108049	0.11138	1295.66	nan	nan	
60	0.00126	0.2646	0.102905	0.107331	0.106143	1296.32	nan	nan	
101	0.00126	0.2646	0.102986	0.108014	0.111106	1295.68	nan	nan	
107	0.00126	0.2646	0.102956	0.10786	0.110235	1295.8	nan	nan	
91	0.00126	0.2646	0.102945	0.107851	0.110186	1295.8	nan	nan	
145	0.00126	0.2646	0.102851	0.107057	0.104643	1296.51	nan	nan	
18	0.00126	0.2646	0.103007	0.108415	0.114477	1295.27	nan	nan	
25	0.00126	0.2646	0.102877	0.107173	0.105134	1296.46	nan	nan	
167	0.00126	0.2646	0.102919	0.107675	0.109324	1295.91	nan	nan	
64	0.00126	0.2646	0.102962	0.107736	0.108446	1296.04	nan	nan	
70	0.00126	0.2646	0.102965	0.107654	0.108097	1296.08	nan	nan	
118	0.00126	0.2646	0.102997	0.108024	0.111069	1295.7	nan	nan	
82	0.00126	0.2646	0.10302	0.108132	0.111515	1295.64	nan	nan	
137	0.00126	0.2646	0.102923	0.107526	0.107696	1296.12	nan	nan	
128	0.00126	0.2646	0.102987	0.108074	0.111647	1295.63	nan	nan	
77	0.00126	0.2646	0.10294	0.107665	0.108581	1296.01	nan	nan	
85	0.00126	0.2646	0.102934	0.107685	0.108744	1296	nan	nan	
68	0.00126	0.2646	0.102922	0.107649	0.108746	1296	nan	nan	
50	0.00126	0.2646	0.102937	0.10761	0.108243	1296.06	nan	nan	
18	0.00126	0.2646	0.103175	0.109447	0.121451	1294.37	nan	nan	
78	0.00126	0.2646	0.102964	0.107918	0.110521	1295.77	nan	nan	
84	0.00126	0.2646	0.102937	0.107677	0.108742	1295.99	nan	nan	
100	0.00126	0.2646	0.102952	0.10772	0.108765	1295.98	nan	nan	
65	0.00126	0.2646	0.102972	0.107953	0.110839	1295.72	nan	nan	
32	0.00126	0.2646	0.10294	0.10758	0.107694	1296.12	nan	nan	
76	0.00126	0.2646	0.102977	0.107934	0.110444	1295.78	nan	nan	
200	0.00126	0.2646	0.102846	0.107175	0.105641	1296.39	nan	nan	
115	0.00126	0.2646	0.102847	0.107257	0.106158	1296.33	nan	nan	
49	0.00126	0.2646	0.102863	0.107319	0.106658	1296.26	nan	nan	
162	0.00126	0.2646	0.102883	0.107334	0.106284	1296.31	nan	nan	
164	0.00126	0.2646	0.10287	0.107322	0.106314	1296.3	nan	nan	
157	0.00126	0.2646	0.102898	0.107613	0.108602	1296.01	nan	nan	
101	0.00126	0.2646	0.102863	0.107282	0.106069	1296.33	nan	nan	
190	0.00126	0.2646	0.102861	0.107307	0.106366	1296.29	nan	nan	
130	0.00126	0.2646	0.102871	0.107335	0.106792	1296.23	nan	nan	
132	0.00126	0.2646	0.103013	0.108236	0.112218	1295.56	nan	nan	
120	0.00126	0.2646	0.102874	0.107325	0.106541	1296.28	nan	nan	
150	0.00126	0.2646	0.102931	0.107803	0.110009	1295.84	nan	nan	
33	0.00126	0.2646	0.10293	0.10774	0.109326	1295.93	nan	nan	
