2000	-1.77621e-12	0.00110653	2.84217e-11	-1.79022e-06	-8.71634e-07	-1.18226e-10	
4000	-1.77621e-12	0.00110653	2.84217e-11	-4.0886e-07	-3.54505e-07	-1.16586e-10	
6000	-1.77621e-12	0.00110653	2.84217e-11	-9.3376e-08	-1.4416e-07	-1.14968e-10	
8000	-1.77621e-12	0.00110653	2.84217e-11	-2.13252e-08	-5.86194e-08	-1.13373e-10	
10000	-1.77621e-12	0.00110653	2.84217e-11	-4.87027e-09	-2.38356e-08	-1.118e-10	
12000	-1.77621e-12	0.00110653	2.84217e-11	-1.11227e-09	-9.69187e-09	-1.10249e-10	
14000	-1.77621e-12	0.00110653	2.84217e-11	-2.54031e-10	-3.94082e-09	-1.0872e-10	
16000	-1.77621e-12	0.00110653	2.84217e-11	-5.80754e-11	-1.60238e-09	-1.07211e-10	
18000	-1.77621e-12	0.00110653	2.84217e-11	-1.35044e-11	-6.51543e-10	-1.05724e-10	
20000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-2.64924e-10	-1.04257e-10	
22000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-1.07721e-10	-1.0281e-10	
24000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-4.38003e-11	-1.01384e-10	
26000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-1.78096e-11	-9.99774e-11	
28000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-7.24158e-12	-9.85903e-11	
30000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-2.9445e-12	-9.72224e-11	
32000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-1.19726e-12	-9.58735e-11	
34000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-4.86825e-13	-9.45434e-11	
36000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-1.97938e-13	-9.32316e-11	
38000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-8.04872e-14	-9.19381e-11	
40000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-3.27838e-14	-9.06626e-11	
42000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-1.35775e-14	-8.94047e-11	
44000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-5.74859e-15	-8.81643e-11	
46000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-3.46945e-15	-8.6941e-11	
48000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-3.46945e-15	-8.57348e-11	
50000	-1.77621e-12	0.00110653	2.84217e-11	-3.5527e-12	-3.46945e-15	-8.45453e-11	
