2000	16.4544	1.14713e-06	297.357	59.4028	0.0548795	1.75325e-05	0.701783	
4000	16.4544	1.14713e-06	297.357	59.4009	0.0537299	1.72977e-05	0.70175	
6000	16.4544	1.14713e-06	297.357	59.4005	0.0532623	1.70661e-05	0.701743	
8000	16.4544	1.14713e-06	297.357	59.4004	0.0530722	1.68378e-05	0.701741	
10000	16.4544	1.14713e-06	297.357	59.4004	0.0529949	1.66126e-05	0.701741	
12000	16.4544	1.14713e-06	297.357	59.4004	0.0529634	1.63906e-05	0.701741	
14000	16.4544	1.14713e-06	297.357	59.4004	0.0529507	1.61716e-05	0.701741	
16000	16.4544	1.14713e-06	297.357	59.4004	0.0529455	1.59557e-05	0.701741	
18000	16.4544	1.14713e-06	297.357	59.4004	0.0529434	1.57427e-05	0.701741	
20000	16.4544	1.14713e-06	297.357	59.4004	0.0529425	1.55328e-05	0.701741	
22000	16.4544	1.14713e-06	297.357	59.4004	0.0529421	1.53257e-05	0.701741	
24000	16.4544	1.14713e-06	297.357	59.4004	0.052942	1.51215e-05	0.701741	
26000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.49201e-05	0.701741	
28000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.47216e-05	0.701741	
30000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.45258e-05	0.701741	
32000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.43327e-05	0.701741	
34000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.41423e-05	0.701741	
36000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.39545e-05	0.701741	
38000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.37693e-05	0.701741	
40000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.35867e-05	0.701741	
42000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.34067e-05	0.701741	
44000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.32291e-05	0.701741	
46000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.3054e-05	0.701741	
48000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.28813e-05	0.701741	
50000	16.4544	1.14713e-06	297.357	59.4004	0.0529419	1.2711e-05	0.701741	
